#
#-- optimal_damping GaAsSiO2H n_repeat=20 -- mixing=HybridMixing(1.0, 14, 1.0, var"#194#202"{Int64,var"#periodise#201"}(30, var"#periodise#201"(), Core.Box(0.9796124068570924), Core.Box(1.5213465358236058)), true, false)
#

Starting Arnoldi (now = 2020-07-29T04:09:29.694 ...

#--- 1 ---#
idcs      evals   residnorms   |P(X)|
  1    0.990157   0.0593255  3.79529e-16

#--- 2 ---#
idcs      evals   residnorms   |P(X)|
  1    0.989433   0.0689908  3.79679e-16
  2       2.403     1.64435  3.72374e-16

#--- 3 ---#
idcs      evals   residnorms   |P(X)|
  1    0.987588    0.123351  3.79151e-16
  2     1.32212    0.915331  3.79796e-16
  3      4.7679     1.34013  3.65474e-16

#--- 4 ---#
idcs      evals   residnorms   |P(X)|
  1    0.903697    0.344338  3.77826e-16
  2    0.996411    0.158052  3.79538e-16
  3     2.82962    0.624442  3.77935e-16
  4     5.39796    0.404646  3.66011e-16

#--- 5 ---#
idcs      evals   residnorms   |P(X)|
  1    0.767847    0.235339  3.79199e-16
  2     0.99145   0.0517477  3.7999e-16
  3     1.88377    0.671636  3.77429e-16
  4     2.99101    0.390773  3.79844e-16
  5     5.44987   0.0898178  3.66281e-16

#--- 6 ---#
idcs      evals   residnorms   |P(X)|
  1    0.684461    0.218053  3.76884e-16
  2    0.989777   0.0553958  3.80002e-16
  3     1.32043    0.526716  3.75165e-16
  4     2.48066     0.61295  3.72227e-16
  5     3.08212    0.343766  3.82593e-16
  6     5.45202   0.0224624  3.68041e-16

#--- 7 ---#
idcs      evals   residnorms   |P(X)|
  1    0.631754    0.186296  3.81048e-16
  2      0.9855    0.120069  3.78935e-16
  3     1.06941    0.347797  3.75599e-16
  4     2.03398    0.550139  3.80566e-16
  5       2.849     0.51902  3.79331e-16
  6     3.28361     0.46587  3.88258e-16
  7     5.45225   0.0069869  3.65422e-16

#--- 8 ---#
idcs      evals   residnorms   |P(X)|
  1    0.605594     0.12924  3.85147e-16
  2    0.928658    0.219949  3.76846e-16
  3    0.996509   0.0944199  3.78871e-16
  4     1.66086    0.416735  3.77686e-16
  5      2.4561    0.430188  3.74732e-16
  6     3.01844    0.273658  3.84339e-16
  7     3.60153    0.405793  3.94071e-16
  8     5.45205  0.00201788  3.66193e-16

#--- 9 ---#
idcs      evals   residnorms   |P(X)|
  1    0.597626    0.102691  3.83958e-16
  2    0.844246    0.190309  3.76156e-16
  3    0.992296    0.042644  3.79995e-16
  4     1.37571    0.389514  3.76953e-16
  5      1.9592    0.397147  3.77819e-16
  6     2.67955    0.304659  3.75291e-16
  7     3.06302    0.171043  3.82368e-16
  8     3.72131    0.185682  3.8479e-16
  9     5.45197  0.000429208  3.70015e-16

#--- 10 ---#
idcs      evals   residnorms   |P(X)|
  1    0.594654   0.0892291  3.85728e-16
  2    0.778495    0.180392  3.75562e-16
  3    0.990201   0.0447456  3.80148e-16
  4      1.1622    0.308144  3.77691e-16
  5     1.69838    0.364826  3.77412e-16
  6      2.2645    0.377964  3.72637e-16
  7       2.784    0.261321  3.78288e-16
  8     3.10536    0.128555  3.82199e-16
  9     3.73911   0.0806487  3.99428e-16
 10     5.45197  8.62913e-05  3.66414e-16

#--- 11 ---#
idcs      evals   residnorms   |P(X)|
  1    0.588949   0.0892851  3.87384e-16
  2    0.728818    0.189689  3.78853e-16
  3    0.982557    0.137825  3.79222e-16
  4     1.02543    0.245859  3.75822e-16
  5     1.49574    0.391727  3.79752e-16
  6     1.90205    0.372196  3.80364e-16
  7     2.49481     0.31079  3.72888e-16
  8      2.8566    0.234356  3.81594e-16
  9     3.14176    0.107046  3.82136e-16
 10     3.74215     0.03667  3.87776e-16
 11     5.45197  1.8085e-05  3.60491e-16

#--- 12 ---#
idcs      evals   residnorms   |P(X)|
  1    0.578718   0.0654262  3.85167e-16
  2     0.69969    0.143241  3.75454e-16
  3    0.915821    0.169077  3.76812e-16
